gold_label,match

contradiction,TRUE

entailment,TRUE

neutral,TRUE

neutral,FALSE

entailment,TRUE

contradiction,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

neutral,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

entailment,FALSE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

contradiction,TRUE

neutral,TRUE

neutral,FALSE

entailment,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

contradiction,FALSE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

contradiction,FALSE

entailment,TRUE

neutral,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

entailment,FALSE

contradiction,TRUE

neutral,FALSE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

neutral,TRUE

entailment,TRUE

contradiction,FALSE

neutral,TRUE

entailment,FALSE

contradiction,TRUE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

entailment,FALSE

contradiction,TRUE

neutral,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

contradiction,TRUE

entailment,FALSE

neutral,TRUE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

contradiction,TRUE

entailment,TRUE

neutral,FALSE

entailment,TRUE

neutral,TRUE

contradiction,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

neutral,TRUE

contradiction,TRUE

entailment,TRUE

neutral,TRUE

entailment,FALSE

contradiction,TRUE

contradiction,TRUE

neutral,TRUE

entailment,TRUE

contradiction,TRUE

neutral,TRUE

entailment,FALSE

